Nombre,Este__X_,Norte__Y_,Azimut de elongación,Azimut de la brecha
Granates,364665.6314,233395.2185,102°,
Morelia,356446.4008,232419.092,,
San Vicente,361782.5106,220806.2102,,
Yarumal,364655.0693,219483.525,78°  ,
Mondeyal,369286.2164,214413.082,90° ,80°
San Lorenzo,367678.6428,213216.5225,,
La Horqueta,361220.3654,212791.1999,,
Canastos,366133.1249,212419.1501,174°  ,
Purutal,355626.6636,211751.1981,128° ,130°
Los Ídolos,365329.2206,211682.6771,84°  ,163°
El Trébol,365328.9173,211252.7368,112° ,
La Pelota,356954.8539,211043.8457,90° ,
La China,353709.744,210339.9406,82°  ,167°
La Guaca,361805.526,210118.9676,49°,138°
La Gorda,365389.8321,209993.5827,109° ,
Granada,361218.2014,209812.2864,65°  ,
Chico,365605.6802,209348.5216,55°  ,
Campoalegre,368634.0176,209592.1123,85°,
Vega Chiquita,36720413,22577809,122° ,
Junín,36081948,21595352,26°  ,
Hornitos,36098356,21542925,15°  ,
