OBJECTID,FID,COUNT,AREA,MIN,MAX
1,0,3469,542031.25,1965,2220
2,1,3691,576718.75,2511,2622
3,2,9726,1519687.5,2109,2320
4,3,5990,935937.5,1938,2113
5,4,12540,1959375,1993,2164
6,5,4787,747968.75,1980,2144
7,6,6284,981875,1812,1973
8,7,6972,1089375,1766,1866
9,8,2349,367031.25,1798,1888
10,9,2603,406718.75,1730,1877
11,10,1377,215156.25,1763,1843
12,11,9175,1433593.75,1727,1926
13,12,7016,1096250,1746,1921
14,13,3592,561250,1775,1898
15,14,4885,763281.25,1772,1913
16,15,3930,614062.5,1755,1873
17,16,24534,3833437.5,1639,1881
18,17,2851,445468.75,1806,1945
19,18,12877,2012031.25,1778,2032
20,19,4415,689843.75,1782,1991
