volcan,x,y,MIN,MAX,MBG_Width,MBG_Length,MBG_Orient,Slope_MAX,Azimut_de_la_brecha
Granates,3646656314,2333952185,1965,2220,809789,833823,26,57,
Morelia,3564464008,232419092,2511,2622,793150,922780,46,27,
Vega Chiquita,,,,,,,,,
San Vicente,3617825106,2208062102,2109,2320,1155041,1835519,35,42,
Yarumal,3646550693,219483525,1938,2113,1039463,1130554,138,36,80°
Hornitos,36098356,21542925,1993,2164,1404735,1736623,76,39,
Junín,36081948,21595352,1980,2144,734213,1277488,68,39,
Mondeyal,3692862164,214413082,1755,1873,839370,935509,63,24,
San Lorenzo,3676786428,2132165225,1772,1913,899937,1079082,67,34,130°
La Horqueta,3612203654,2127911999,1812,1973,1044032,1228391,71,39,163°
Canastos,3661331249,2124191501,1775,1898,752570,936243,148,34,
Purutal,3556266636,2117511981,1782,1991,784891,1090498,81,45,
Los Ídolos ,3653292206,2116826771,1766,1866,1134612,1213661,64,30,167°
El Trébol,3653289173,2112527368,1746,1921,1070085,1345307,57,39,138°
La Pelota,3569548539,2110438457,1806,1945,711723,787903,152,31,
La China,353709744,2103399406,1778,2032,1362608,1887019,81,36,167°
La Guaca ,361805526,2101189676,1798,1888,625892,774947,66,30,
La Gorda,3653898321,2099935827,1763,1843,1094853,1655955,65,35,
Granada,3612182014,2098122864,1730,1877,592777,811752,163,34,
Chico,3656056802,2093485216,1763,1843,441753,677355,34,45,
Campoalegre,3686340176,2095921123,1755,1873,1749694,3146438,29,24,
